Pais,Continente,GDP per capita (current US$),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),ratio_population ages 65 and above,ratio_urban population,Urban population growth (annual %)
Afghanistan,Asia,0.0,0.0,0.0,61.48480571428572,2.862867988938838,0.02408039598787299,0.26041000500910044,3.9165963163784823
Algeria,Africa,3904.433919475242,7.307475512368065,5.025693589140826,74.98341142857143,1.7522538993698682,0.0602254001458485,0.7371680021404898,2.493361802277692
Argentina,Sudamérica,10915.477895321032,51.02828078006866,0.0,76.01397714285714,0.9705172533614321,0.11705608655265118,0.9210959981254266,1.100449528119766
Australia,Oceania,57761.211526277606,3.3764487199450057,2.7654162980576844,82.45195818815333,1.0955058645743345,0.16261119391322817,0.862453997322486,1.2310115120626635
Austria,Europa,51223.0678315007,2.572041541673552,3.2449445375783355,80.97600000000001,0.5492737802275042,0.1921565006415647,0.5876219820729774,0.9453653352978275
Brazil,Sudamérica,8300.900730027362,6.971510793355089,5.638272075879086,73.5958,0.6426453279174911,0.09289906593999213,0.870675999893175,0.9293110473364482
Burkina Faso,Africa,822.1150886749463,2.9527304405697725,3.7101523854379663,58.543622857142864,2.674341740727286,0.025542378348779864,0.30612399455534545,4.74414999883318
Cambodia,Asia,1638.8817929379002,2.541898073959354,3.1212785459312,68.80398857142856,1.1502497497191,0.05280746033509968,0.24241400316890144,2.92627607944539
Canada,América del Norte,48719.3472531808,3.85699943738229,3.0264977335192507,81.63358132404184,1.2642361715423118,0.18058559809159008,0.815719998060459,1.362825007836157
Chad,Africa,693.6306428392779,5.65431722165135,2.5564019382183494,52.00416571428572,3.222430645522612,0.02025200929107642,0.23540400208534532,4.2499159197009915
China,Asia,11159.1412148768,2.415897340762355,2.0696074301502603,77.04215428571429,0.22732130251026864,0.12594503953437639,0.6139199999999919,2.071945786830948
Colombia,Sudamérica,6267.165217850762,6.393904483485444,4.5925025172356495,74.73667428571429,1.4063476423510584,0.08465128550945403,0.8141940066253414,1.8012012301310398
Costa Rica,América del Norte,12593.56524918284,2.6549000189852596,3.0086649800188434,78.62229714285715,0.7351905737017288,0.10206470631789252,0.8073079781522455,1.602566199924306
Cuba,América del Norte,7298.630897148071,87.6015064423134,0.0,76.5089942857143,-0.22035120322474286,0.1546118751359868,0.7720659993723074,-0.11048951924809605
Denmark,Europa,63418.244526619324,2.9583272604440727,2.3084130905733473,80.64391777003486,0.4733055946796186,0.20032030442729637,0.8811819983146771,0.6118480045272354
Ecuador,Sudamérica,6111.244442428942,1.9518736021540892,0.6604915970251244,74.70573142857143,1.504032064865626,0.07529869831956358,0.641808004525055,1.784761293803736
Egypt,Africa,3460.429062989704,11.248559300389038,9.541781729282757,70.40810285714285,1.730703995113118,0.04697488283221658,0.42809199999203235,1.853031711355578
Fiji,Oceania,5373.803413245796,0.8694479644269,1.5870766656511006,67.47469142857143,0.23252289591828532,0.05531147679246686,0.5724280013042617,1.1054819419311404
Finland,Europa,50362.71604235824,2.30839677654696,2.3433103051589343,81.22165574912893,0.175927339788551,0.22465876315981587,0.8552439794676158,0.25919618876328343
Germany,Europa,48228.360149433334,2.896612932847534,2.652389508908718,80.52125993031362,0.34133878670190565,0.21955328042246655,0.7746659994060587,0.4412688380911824
Greece,Europa,19496.97413357782,1.7207474219012053,2.099946040536518,80.80663205574913,-0.3529872535061334,0.2220211417239689,0.7971119934538289,0.057636030183562205
India,Asia,2112.9019154826337,5.578608627851493,5.224442118231022,68.67773142857143,0.9091296052312476,0.06619464411246218,0.3493860001275199,2.217749239747954
Japan,Asia,38759.29250662654,0.3191386771667283,0.7394449851404581,83.8450006968641,-0.29306879973464,0.29495259468304363,0.9178360003276099,-0.20151041890438753
Kenya,Africa,1984.2154604530701,4.755725435666612,5.819655630445132,61.673108571428564,1.9746325313738222,0.02795112126329332,0.28005400024403004,3.7322964461153396
Mexico,América del Norte,9958.827848369163,5.086763853113004,5.103526079811813,72.27767428571428,0.7454412367932164,0.080056242053538,0.8072940009062654,1.1011066545689538
Morocco,Africa,3514.537744140626,2.036369297454683,2.1744544553116616,72.89554857142858,1.057903524775544,0.07153119547418954,0.6352800035591295,1.907965509599282
Nepal,Asia,1210.469362450142,5.270898963619698,5.29256888202025,67.90328,1.611027868220318,0.06002147848127173,0.20585599178948866,3.687080031855788
Netherlands,Europa,54275.378088519756,3.024226796467868,3.657317078246698,81.19832613240419,0.6566446879509524,0.1963957676303598,0.9221199903942144,1.049997703355397
New Zealand,Oceania,45207.91934915224,3.4630669794040982,3.20916720157633,81.45548989547038,1.250193098463416,0.1562448348503192,0.8670499683101875,1.3466471587122444
Niger,Africa,561.3549269740583,0.22773834524501577,2.288018143433546,60.17590285714285,3.7401107425534903,0.024233542235387866,0.16642600069525487,4.394726423277138
Norway,Europa,84873.52388253833,9.76262851834204,3.093430003322292,82.359781184669,0.6714154088046472,0.1774947053027688,0.8296500289956661,1.1046975517911855
Russian Federation,Asia,12191.26171875,9.790916448722603,15.717305309184145,70.92689198606271,-0.13067151704614158,0.15228954616933452,0.7476679997088519,0.0925970955356121
Rwanda,Africa,827.2936012626345,5.457249639226471,6.036985644648491,63.921794285714284,2.381178923810774,0.031020597399683915,0.17448998676031297,3.06539736554692
Samoa,Oceania,4028.1277502434,1.960435613719726,3.5411919879091984,72.21626857142857,1.3727794865462575,0.050244308444691986,0.17909303935225102,0.44551250403552534
Saudi Arabia,Asia,24515.26091376432,7.22874570154696,1.8695260229956219,76.24262285714286,1.2557308050267626,0.024780959273527244,0.8428660020319138,1.5187567681580416
Sierra Leone,Africa,497.1343109157184,12.159753520817741,0.0,57.91272571428571,2.282488528970262,0.031423617316543744,0.42932998245278825,3.310009978332814
Singapore,Asia,70939.74693658223,3.6945349395176095,1.8495767302718988,82.83062020905925,0.08807337371450963,0.13171212098107538,1.0,0.08807337371451203
South Africa,Africa,6662.091872260402,5.069952144629189,4.699769172629508,64.03949714285714,1.116752372043992,0.05933963837823568,0.6734939974012539,1.8576053306202263
Spain,Europa,29274.91947106846,2.0999421675661822,2.7070917613494756,82.58896167247389,0.433863426495069,0.19723454742855148,0.8081119966700717,0.7372451257451919
Switzerland,Europa,87817.59336959195,0.8519011672138959,0.7980377731350508,83.04316376306622,0.7384620861377875,0.18784018379767495,0.7392980204767836,0.8280112175219754
United Arab Emirates,Asia,45560.20623222986,4.169055628997645,0.0,78.56119428571428,0.8058239218560758,0.015864096842014223,0.8704020033019335,1.103889496610544
United Kingdom,Europa,43761.62587493056,3.0423428143334568,3.092170227143628,80.47812543554008,0.27439358397544894,0.18732266795607372,0.8390059995684528,0.5740272281077148
United States,América del Norte,67618.0805200267,3.4001937912366644,3.6378072905306524,77.56197909407668,0.4960952335860792,0.1624398290346202,0.826672000121946,0.7446118265712104
Venezuela,Sudamérica,6084.479996093274,35.0631193204545,0.0,71.59522857142858,-1.5376512438874328,0.07955256033643479,0.8828600035583205,-1.4934736813886684
